coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage,dataset_id
14221811,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0236000/BRIT236185.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0236000/BRIT236185.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0236000/BRIT236185_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0236000/BRIT236185_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:05ef382f-3158-4b3a-81bf-116bf0eb94b0,2020-10-09 15:28:48,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14221811,StillImage,Photograph,en,370-symbiota_data
14222118,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0021000/BRIT21065.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0021000/BRIT21065.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0021000/BRIT21065_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0021000/BRIT21065_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:1eed03ba-bfc4-49cd-9fc9-0107df70b0cc,2020-05-16 15:32:02,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14222118,StillImage,Photograph,en,370-symbiota_data
14222300,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0020000/BRIT20888.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0020000/BRIT20888.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0020000/BRIT20888_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0020000/BRIT20888_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:df353de5-b6da-47bb-a980-4ddda17d9ef2,2020-05-16 15:32:05,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14222300,StillImage,Photograph,en,370-symbiota_data
14222511,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0224000/BRIT224814.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0224000/BRIT224814.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0224000/BRIT224814_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0224000/BRIT224814_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:e99af9cb-44cb-43bf-859f-23f012050826,2020-10-12 12:36:11,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14222511,StillImage,Photograph,en,370-symbiota_data
14223230,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0240000/BRIT240321.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0240000/BRIT240321.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0240000/BRIT240321_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0240000/BRIT240321_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:ad0c8d8a-d13e-4a60-a765-2d1e4a2e358b,2020-10-12 12:36:09,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14223230,StillImage,Photograph,en,370-symbiota_data
14223275,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0240000/BRIT240398.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0240000/BRIT240398.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0240000/BRIT240398_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0240000/BRIT240398_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:671ee855-695b-4b77-8573-6151f61af015,2020-10-12 12:36:09,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14223275,StillImage,Photograph,en,370-symbiota_data
14223658,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0009000/BRIT09920.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0009000/BRIT09920.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0009000/BRIT09920_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0009000/BRIT09920_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:5f2a24ab-a249-42a9-bf1f-82ca65a0d921,2020-10-09 15:28:49,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14223658,StillImage,Photograph,en,370-symbiota_data
14223677,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0053000/BRIT53538.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0053000/BRIT53538.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0053000/BRIT53538_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0053000/BRIT53538_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:19e062d4-ba13-47ce-8b14-43c5db1f02d2,2020-10-09 15:28:49,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14223677,StillImage,Photograph,en,370-symbiota_data
14223712,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0233000/BRIT233186.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0233000/BRIT233186.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0233000/BRIT233186_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0233000/BRIT233186_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:412622e7-c7ae-4b9a-a2d0-5eb0305a3dd5,2020-10-12 12:36:10,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14223712,StillImage,Photograph,en,370-symbiota_data
14223843,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0233000/BRIT233285.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0233000/BRIT233285.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0233000/BRIT233285_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0233000/BRIT233285_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:cd4f1e70-9636-44d6-929b-deb6b6d8917f,2020-10-12 12:36:10,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14223843,StillImage,Photograph,en,370-symbiota_data
