id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references,dataset_id
24926435,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,12d682f2-4b9c-4e74-8567-e9ce330eec6f,BRIT450324,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Rubiaceae|Hedyotis,Plantae,Magnoliophyta,,Gentianales,Rubiaceae,Hedyotis crassifolia,8821.0,Raf.,Hedyotis,,crassifolia,,,Species,,,,,,,,B. C. Cox,46,1979-04-12,1979.0,4.0,12.0,102.0,,,,Blue flowers; in open field.,,,,,,,,,,,,,United States,Texas,Hunt,,"Lake Tawakoni, 9 mi. E on Texas 35, 5 mi. N on paved side road, 1/2 mi. W on dirt road.",,,,,,,,,,,,,,,,,,,,preprocessed,2020-09-25 10:38:07,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:12d682f2-4b9c-4e74-8567-e9ce330eec6f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24926435,370-symbiota_data
26798122,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,a1fd044d-77be-4ed1-897f-f746b4f66e75,BRIT488579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,,,,,,,,,,,,,,,,,,,,,,,,2020-10-16 08:01:24,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:a1fd044d-77be-4ed1-897f-f746b4f66e75,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26798122,370-symbiota_data
26789459,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,1f263823-f4bb-4dbf-9fe9-a56f98d6a120,BRIT415278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,,,,,,,,,,,,,,,,,,,,,,,,2020-10-16 08:01:24,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:1f263823-f4bb-4dbf-9fe9-a56f98d6a120,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26789459,370-symbiota_data
14239623,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,20467116-2605-4580-8428-d121f6c7181a,BRIT309860,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heterotheca|Heterotheca latifolia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Heterotheca latifolia var. latifolia,207598.0,,Heterotheca,,latifolia,var.,latifolia,Variety,,,,,,,,Eula Whitehouse,19221,1947-11-04,1947.0,11.0,4.0,308.0,,1947-11-04,,,,,,,,,,,,,,,United States,Texas,Wise,,,,33.215899,-97.654462,,41796.0,,Jason Best (BRIT),,,,Georeferenced to county centroid with uncertainty radius that encompasses entire county.,,,,,,,,,,2020-04-11 12:20:49,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:20467116-2605-4580-8428-d121f6c7181a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14239623,370-symbiota_data
27526141,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,a8ac31e0-9487-4c2c-af82-c142dfc7b1c0,BRIT447563,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepias,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias subverticillata,3799.0,(A. Gray) Vail,Asclepias,,subverticillata,,,Species,Mark Fishbein,2013-5-4,,,,,,G. Diggs; M. Nee,3055,1982-07-26,1982.0,7.0,26.0,207.0,,,flowers white with odor like that of Asclepias verticillata,Pastizal. Arid grassland with salty flats.,,,,,,,,,,,,,Mexico,Durango,,,"Along hwy. Mex. 40, 3 km. SW of turnoff to Carlos Real, 32 km. (by air) NE of Durango.",,24.25,-104.45,,,24°15'N 104°27'W,,,,,,1850.0,,,,,1850m,,,Natchurally,2021-02-10 21:05:00,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:a8ac31e0-9487-4c2c-af82-c142dfc7b1c0,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27526141,370-symbiota_data
14231876,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,21bd6317-13d3-4445-a68e-b425cc7ad662,BRIT01310,01310,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Amblyolepis,Plantae,Magnoliophyta,,Asterales,Asteraceae,Amblyolepis setigera,56962.0,DC.,Amblyolepis,,setigera,,,Species,,,,,,,,Wm. F. Mahler,3883,1964-04-18,1964.0,4.0,18.0,109.0,,1964-04-18,,,,,,,,,,,,,,,United States,Texas,Mitchell,,,,32.306212,-100.921229,,41703.0,,Jason Best (BRIT),,,,Georeferenced to county centroid with uncertainty radius that encompasses entire county.,,,,,,,,,,2020-04-11 12:53:38,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:21bd6317-13d3-4445-a68e-b425cc7ad662,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14231876,370-symbiota_data
24842858,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,22e43acc-8158-4473-9057-0f857a4c6d86,BRIT355780,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Schrankia,Plantae,Magnoliophyta,,Fabales,Fabaceae,Schrankia uncinata,68235.0,Willd.,Schrankia,,uncinata,,,Species,,,,,,,,Barney L. Lipscomb,1768,1976-06-04,1976.0,6.0,4.0,156.0,,1976-6-4,,,,,,,,,,,,,,,United States,Texas,Jasper,,13 mi. N and ca. 2 1/2 mi. E of Jasper.,,,,,,,,,,,,,,,,,,,,TEX4BRITzhiyao,2020-05-29 09:16:18,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:22e43acc-8158-4473-9057-0f857a4c6d86,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24842858,370-symbiota_data
14265166,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,fa79386e-2a3f-465c-afe0-8e8b074d2f15,BRIT346347,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Euphorbia,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Euphorbia spathulata,3361.0,Lam.,Euphorbia,,spathulata,,,Species,,,,,,,,Bob Hutchins,1023,1966-04-11,1966.0,4.0,11.0,101.0,,1966-04-11,,,,,,,,,,,,,,,United States,Texas,Garza,,,,33.179876,-101.298424,,41220.0,,Jason Best (BRIT),,,,Georeferenced to county centroid with uncertainty radius that encompasses entire county.,,,,,,,,,,2020-04-11 12:31:47,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:fa79386e-2a3f-465c-afe0-8e8b074d2f15,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14265166,370-symbiota_data
25217136,BRIT,SMU,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,5893e26d-d899-4b93-8d32-ca7324a65147,BRIT559625,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Pluchea,Plantae,Magnoliophyta,,Asterales,Asteraceae,Pluchea purpurascens,15783.0,(Sw.) DC.,Pluchea,,purpurascens,,,Species,,,,,,,,Gene Bush,53,1950-10-31,1950.0,10.0,31.0,304.0,,,,on highway,,,,,,,,,,,,,United States,Oklahoma,Payne,,9 miles south and 10 miles east of Stillwater on highway #33,,,,,,,,,,,,,,,,,,,,apbordelon,2020-07-01 08:51:18,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:5893e26d-d899-4b93-8d32-ca7324a65147,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25217136,370-symbiota_data
24852587,BRIT,SMU,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,f10f3123-aa86-4ff3-927d-5b758e787b9d,BRIT374879,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Nyctaginaceae|Acleisanthes,Plantae,Magnoliophyta,,Caryophyllales,Nyctaginaceae,Acleisanthes obtusa,48302.0,Standl.,Acleisanthes,,obtusa,,,Species,Jackie M. Smith,1975,,,,,,Fred B. Jones,583,1951-06-29,1951.0,6.0,29.0,180.0,,1951-6-29,,Clay loam soil.,,,,,,,,,,,,,United States,Texas,San patricio,,7 1/2 miles south of Taft.,,,,,,,,,,,,,,,,,,,,TEX4BRITbhristina,2020-06-29 22:14:52,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:f10f3123-aa86-4ff3-927d-5b758e787b9d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24852587,370-symbiota_data
